name,level,faction,active,start_date,profile_pic
spec1,100,Swarm,Retired,2013-12-01,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile118252.jpg?refresh=1241
Silver,145,Legion,On Leave,2012-03-01,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile711.jpg?refresh=0147
NanoChampion,121,Swarm,Retired,2013-01-21,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile15961.jpg?refresh=0910
April,108,Legion,Retired,2013-09-24,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile99005.jpg?refresh=0415
SevenLeafSage42,196,Swarm,Missing in Action,2013-12-19,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile121990.jpg?refresh=0304
sokmonkey,161,Faceless,Retired,2013-11-06,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile111527.jpg?refresh=0444
cranky,100,Swarm,Retired,2013-11-03,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultSwarmProfilePic.png
xdog,100,Swarm,Retired,2014-01-03,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile124122.jpg?refresh=0207
RedOctober,211,Swarm,Active,2013-03-29,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile27598.jpg?refresh=0534
SourCrouse,164,Swarm,Retired,2013-09-04,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile93965.jpg?refresh=0548
PotterRV,144,Swarm,Retired,2013-07-27,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile77906.jpg?refresh=0653
Griflet,100,Swarm,Retired,2013-12-30,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile123636.jpg?refresh=0257
do0m_blade,100,Swarm,Retired,2014-01-27,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile127297.jpg?refresh=1043
marinazzio,105,Swarm,Retired,2013-10-21,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile108178.jpg?refresh=0940
Mavlin,181,Swarm,Retired,2013-12-15,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile121462.jpg?refresh=0934
mazay,200,Faceless,Missing in Action,2013-04-18,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile34105.jpg?refresh=0131
TellBro,165,Faceless,Retired,2013-05-16,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile46106.jpg?refresh=0924
Shmyshuk,91,Swarm,Retired,2014-02-23,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile131827.jpg?refresh=0852
kickerus,101,Faceless,Retired,2013-10-06,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile104119.jpg?refresh=0756
pacctu,194,Faceless,Missing in Action,2013-04-22,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile35336.jpg?refresh=0859
Svyatosik,100,Swarm,Retired,2014-01-29,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile127562.jpg?refresh=0739
Apfelsaft,100,Swarm,Retired,2014-02-16,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile130731.jpg?refresh=0528
x413,103,Faceless,Retired,2013-10-04,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile102789.jpg?refresh=1249
SargeT13,100,Faceless,Retired,2013-10-06,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile104233.jpg?refresh=0742
RichardG,208,Swarm,On Leave,2013-06-07,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile56163.jpg?refresh=0800
EchoLima,158,Legion,Retired,2013-07-22,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile75597.jpg?refresh=0641
BiSoPo,115,Legion,Retired,2013-09-09,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile95466.jpg?refresh=0650
Aimless,177,Swarm,Retired,2013-08-05,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile81916.jpg?refresh=0855
Novae7,186,Faceless,Retired,2012-07-19,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile2816.jpg?refresh=0658
Otzelot,158,Swarm,Retired,2013-03-23,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile26523.jpg?refresh=1020
fossi,100,Legion,Retired,2013-06-07,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile56065.jpg?refresh=0122
ocean,100,Legion,Retired,2013-05-20,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultLegionProfilePic.png
maxpowerberlin,100,Legion,Retired,2013-06-07,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultLegionProfilePic.png
Steingrimar,103,Swarm,Retired,2013-08-04,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile81498.jpg?refresh=0718
AleSan,121,Swarm,Retired,2013-05-20,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile47788.jpg?refresh=1136
GulDukat60,197,Swarm,Retired,2013-06-06,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile55807.jpg?refresh=0806
Cipan,178,Swarm,Retired,2013-07-14,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile72406.jpg?refresh=0946
Saphiro,100,Legion,Retired,2013-05-21,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile48592.jpg?refresh=0932
Nachtschatten,100,Legion,Retired,2013-12-13,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile121211.jpg?refresh=1146
